gender,F,M,unknown
F,0.01066309466930585,0.06755170295542966,0.007757149682615521
M,0.06755170295542966,0.6574039314722544,0.07852706299911269
unknown,0.007757149682615521,0.07852706299911269,0.02426114258412395
