esp,archi,spiegati_medi,quota_archi,quota_spiegata
0,17353,0.0,0.024697806616159963,
1,34244,0.8232683097768952,0.04873806775564927,0.8232683097768952
2,51246,1.6498263279085197,0.07293631060057243,0.8249131639542598
3,64011,2.4732780303385358,0.09110420672546622,0.8244260101128452
4,73200,3.279289617486339,0.10418253006989624,0.8198224043715847
5,74836,4.049294457213106,0.10651098115178625,0.8098588914426212
6,73328,4.75226380100371,0.1043647071716578,0.7920439668339516
7,40740,4.613696612665684,0.0579835556700488,0.6590995160950978
8,30522,4.749426643077125,0.0434406992184887,0.5936783303846406
9,24019,4.918189766434906,0.03418524849383658,0.5464655296038784
10,19532,5.069782920335859,0.02779908712192914,0.5069782920335859
11,16313,5.196039968123582,0.02321761766434723,0.47236726982941657
12,13843,5.335982084808206,0.019702168903791988,0.4446651737340172
13,11648,5.400583791208791,0.016578116260302613,0.4154295224006762
14,10315,5.509064469219583,0.014680912536488792,0.39350460494425593
15,9253,5.646276883173025,0.01316941189531079,0.37641845887820163
16,8080,5.816707920792079,0.011499929548698927,0.36354424504950494
17,7210,5.855478502080444,0.010261694560163277,0.3444399118870849
18,6465,5.907192575406032,0.009201366897566655,0.32817736530033514
19,5992,6.057576769025367,0.008528165576213364,0.3188198299487035
20,5214,6.138089758342923,0.007420870379568838,0.30690448791714614
21,4947,6.171214877703659,0.007040860331363069,0.29386737512874567
22,4544,6.271346830985915,0.006467287112535635,0.28506121959026887
23,4244,6.420122525918944,0.006040309530281961,0.27913576199647583
24,3891,6.658956566435363,0.00553789924183014,0.2774565236014735
25,3582,6.733109994416527,0.005098112332108856,0.26932439977666106
26,3410,6.691788856304985,0.004853311851616751,0.25737649447326866
27,3184,6.754711055276382,0.0045316554063189836,0.2501744835287549
28,2954,6.871699390656737,0.004204305926591168,0.24541783538059775
29,2759,6.86335628851033,0.00392677049812628,0.23666745822449414
30,2589,6.9837775202781,0.003684816534849199,0.23279258400927
31,2433,7.184956843403206,0.0034627881920772886,0.2317728014001034
32,2328,7.21606529209622,0.003313346038288503,0.22550204037800686
33,2161,7.2151781582600645,0.0030756618508339583,0.2186417623715171
34,2130,7.466666666666667,0.003031540834001079,0.2196078431372549
35,1922,7.422996878251821,0.0027355030436385323,0.21208562509290918
36,1978,7.596056622851365,0.002815205525659218,0.21100157285698237
37,1850,7.647027027027027,0.0026330284238976504,0.2066764061358656
38,1639,7.7602196461256865,0.002332720857712567,0.20421630647699174
39,1612,7.66501240694789,0.0022942928753097364,0.19653877966533054
40,1462,7.75376196990424,0.0020808040841829,0.193844049247606
41,1443,7.906444906444906,0.0020537621706401676,0.19284011966938797
42,1360,7.830147058823529,0.0019356317062166513,0.18643207282913166
43,1302,8.258832565284179,0.001853082706980941,0.19206587361125996
44,1304,7.910276073619632,0.0018559292241959657,0.17977900167317346
