model,term,estimate_pre,se_pre,estimate_post,se_post,differenza,se_diff,z,p
M0_senza_gwesp,edges,-10.1834299258192,0.0842626106793606,-10.123145161098,0.09826204209832,0.06028476472119948,0.1294434875759824,0.4657226551147485,0.6414140338971674
M0_senza_gwesp,nodematch.gender.F,0.612900245240941,0.130656215073839,0.375740971226039,0.23512754632459,-0.237159274014902,0.2689907239628227,-0.8816633916628287,0.3779588634143165
M0_senza_gwesp,nodematch.gender.M,0.0545524148750719,0.036344235834059,0.150565050503741,0.0470695905881262,0.0960126356286691,0.059468057278639234,1.614524503109278,0.106413706352118
M0_senza_gwesp,nodematch.gender.mixed,1.17251154312735,0.237969169073736,1.87879041938505,1.02475567220302,0.7062788762576999,1.0520235325989185,0.671352735345101,0.5019958471301185
M0_senza_gwesp,nodematch.musical_genre,1.85840934132119,0.0334484266072569,0.780876209865395,0.0469652474491818,-1.077533131455795,0.057658752245118246,-18.68811046890155,0.0
M0_senza_gwesp,nodecov.log_nrel,0.398324448317822,0.0071242208080579,0.474918737677431,0.0105093365347563,0.07659428935960899,0.01269648284064247,6.032717117092023,1.612255218219616e-09
M0_senza_gwesp,nodematch.cohort_decade,0.996177233368104,0.0295650371325539,0.847082883980354,0.0358508290756227,-0.14909434938775,0.04646905815764728,-3.208465058231743,0.0013344552331013837
M1_con_gwesp,edges,-8.9452309244956,0.093255736813213,-8.7946514865553,0.157779059862103,0.15057943794030137,0.18327810611075274,0.8215898840056108,0.4113103486077989
M1_con_gwesp,nodematch.gender.F,0.70923431555001,0.155015408779418,0.776316438699429,0.408334726404788,0.06708212314941897,0.43676884704283014,0.15358724323770465,0.8779351960086137
M1_con_gwesp,nodematch.gender.M,0.13680198750465,0.0276183190622275,0.0797014726647838,0.1055314662963,-0.057100514839866195,0.10908557157786772,-0.5234469968295172,0.6006632265573337
M1_con_gwesp,nodematch.gender.mixed,1.2086843782376,0.234057536943323,0.61666651571058,1.32078339568464,-0.59201786252702,1.341361885889197,-0.4413558106540114,0.6589554278013148
M1_con_gwesp,nodematch.musical_genre,0.993842146404032,0.0246176062391982,0.288329175454267,0.0903196159242925,-0.705512970949765,0.09361441960328505,-7.536370720873514,4.8405723873656825e-14
M1_con_gwesp,nodecov.log_nrel,0.138548169278741,0.0066285052512742,0.080318669010375,0.0203421244723468,-0.058229500268366,0.021394838394216027,-2.721661140665966,0.006495470873680631
M1_con_gwesp,nodematch.cohort_decade,0.476751560659144,0.0255853989606221,0.304014525368843,0.0804477982899258,-0.172737035290301,0.08441836820071087,-2.046202017072943,0.04073649898246101
M1_con_gwesp,gwesp.fixed.0.25,2.21693719727273,0.0550462374749219,2.89234230083796,0.0579667488209229,0.6754051035652302,0.07993892812024353,8.449013758969734,0.0
M2_nodemix_gwesp,edges,-7.801869687311,0.152731068170552,-7.93753606869584,0.310003224766457,-0.13566638138483977,0.345584690850333,-0.3925705766972028,0.6946366747764381
M2_nodemix_gwesp,mix.gender.F.M,-0.727491278062757,0.134538965745064,-0.889824270123782,0.318750398129061,-0.16233299206102492,0.3459805624759668,-0.46919685574041814,0.63892893275539
M2_nodemix_gwesp,mix.gender.M.M,-0.680822478979718,0.121116111830899,-0.793717323043377,0.305853173444641,-0.11289484406365902,0.32896090383386367,-0.3431862046459926,0.7314583822794296
M2_nodemix_gwesp,mix.gender.F.mixed,-1.04552661023942,0.266085850508654,0.0597879428997594,0.566463214577175,1.1053145531391795,0.6258452311155054,1.7661148446702533,0.07737658348650323
M2_nodemix_gwesp,mix.gender.M.mixed,-1.08521236766471,0.155641221371,-0.968767772998208,0.40930495667454,0.11644459466650203,0.4378980901399362,0.26591711014151853,0.7903030473907557
M2_nodemix_gwesp,mix.gender.mixed.mixed,0.0206040027835927,0.283685106797319,0.271210024310803,3.207638948697,0.2506060215272103,3.220159136598159,0.07782411082700574,0.9379679669451961
M2_nodemix_gwesp,nodematch.musical_genre,1.06592943688742,0.0315713130189269,0.219442799195699,0.0636408001683518,-0.846486637691721,0.07104153187964875,-11.915377037839662,0.0
M2_nodemix_gwesp,nodecov.log_nrel,0.105206593456461,0.00458225949398,0.0968356248906253,0.017272585357909,-0.00837096856583569,0.017870067347842376,-0.46843519964945163,0.6394734009476253
M2_nodemix_gwesp,nodematch.cohort_decade,0.523889662037337,0.0223512075114201,0.312068047617348,0.0639166015794695,-0.21182161441998898,0.0677119519338145,-3.1282751179147135,0.0017583550918023327
M2_nodemix_gwesp,gwesp.fixed.0.25,2.12495436869052,0.0707716984419504,2.86786217669527,0.0568795871869183,0.74290780800475,0.09079603922480653,8.182160965913356,4.440892098500626e-16
