variante,nodi,archi,densita,quota_gigante,r_gender,r_gender_MF,r_gender_pesato,r_genere_musicale,quota_donne,peso_mediano,n_artisti,n_generi
genre_top1,70712,586040,0.00023441055079857193,0.953770222875891,0.08103924674668031,0.043150446936360685,0.12543971481362134,0.4969750817535327,0.14768101024687755,1.0,87229,16
genre_top2,70712,586040,0.00023441055079857193,0.953770222875891,0.08103924674668031,0.043150446936360685,0.12543971481362134,0.4537575268498538,0.14768101024687755,1.0,87229,16
genre_exclude,45704,349998,0.0003351171382223889,0.950507614213198,0.08220942540787791,0.04860989600935771,0.12341817117245468,0.7044896175183165,0.14887319676524738,1.0,56505,15
