gender,n,eigenvector_mediana,eigenvector_media,betweenness_mediana,coreness_mediana,coreness_media,grado_mediano,forza_mediana,n_release_mediana
F,7072,7.334304108087387e-09,5.446640739878069e-05,1.8793178868148988e-07,6.0,9.396069004524886,7.0,5.739999999999999,8.0
M,49901,3.404655125904998e-09,0.00015806008942842844,1.1922688951504304e-06,7.0,10.239474158834492,8.0,7.199999999999998,10.0
mixed,883,4.216040883227747e-09,0.00011183447342431127,1.03457956641807e-06,7.0,10.216308040770102,9.0,10.82,14.0
