categoria,nodi_categoria,archi_osservati,attesi,sd_esatta,rapporto,z,archi_totali,nodi
F,6931,6329,7731.895239854928,418.1973744804706,0.8185573916439599,-3.35462469509225,521438,56915
M,49111,420181,388244.7029581207,3064.9024082447077,1.0822581655294965,10.420004550869038,521438,56915
mixed,873,323,122.5427314077145,22.273773181716344,2.6358152481956676,8.999699644819627,521438,56915
