termine,coef,se_naive,ci_lo_bootstrap,ci_hi_bootstrap,or,repliche_bootstrap
const,-13.354288270119108,0.009311856387381207,-13.407109050348677,-13.302535422923203,1.5860113631478671e-06,200
same_F,0.20057040634494452,0.018748884091362984,0.12658436129106931,0.26857969541378507,1.2220996527808186,200
same_M,0.19402472247909983,0.005631142286842761,0.16387702616560837,0.22425647731263568,1.2141262987972452,200
same_genre,1.605606489731744,0.004503893863962528,1.5796600888906618,1.6298324931751234,4.980879539162457,200
same_cohort,1.2892429617398427,0.004841113583494649,1.2643947830272784,1.3118315440511403,3.6300374380640497,200
sum_lognrel,0.670706014393449,0.0010351218361966175,0.6655675234065361,0.6777373200914181,1.955617527478141,200
