termine,coef,se,z,ci_lo,ci_hi,or,diadi,logL
intercetta,-14.017825405677671,0.005983544521965882,-2342.7293561897222,-14.029553152940725,-14.006097658414618,8.16837707967231e-07,1619630155,-3601952.0569068543
same_F,0.3479603323192853,0.013096728253438158,26.56849295379849,0.3222907449425465,0.3736299196960241,1.4161760722055468,1619630155,-3601952.0569068543
same_M,0.20919539106246135,0.003634946080673169,57.55116758808144,0.20207089674434195,0.21631988538058075,1.2326858307954127,1619630155,-3601952.0569068543
same_mixed,0.5334056155626773,0.05670554486230657,9.406586549126764,0.42226274763255645,0.6445484834927981,1.7047280824157185,1619630155,-3601952.0569068543
same_genre,1.6670443085613427,0.00290022341312003,574.7985831091385,1.6613598706716275,1.6727287464510578,5.296489849304176,1619630155,-3601952.0569068543
same_cohort,1.1920819495407957,0.0028909618478702125,412.34786630581414,1.18641566431897,1.1977482347626214,3.2939318734894396,1619630155,-3601952.0569068543
sum_lognrel,0.7413778021683377,0.0005593213738253986,1325.4952105580915,0.74028153227564,0.7424740720610354,2.0988252893027814,1619630155,-3601952.0569068543
