decennio,nodi,archi,quota_donne,oss_F,att_F,rapporto_F,z_F,oss_M,att_M,rapporto_M,z_M,logit_F,logit_F_se,logit_M,logit_M_se,logit_genre
1950,1437,14030,0.13430758524704245,0.0082679971489665,0.017685958660014253,0.46748934043702195,-2.2870920463049984,0.8334996436208125,0.7512885958660014,1.1094267212455786,3.129058305311314,0.0007220063541384128,0.1151137048075325,0.030872678268859154,0.029937740661083522,1.160794976827081
1960,4547,41633,0.16494391906751704,0.01304253837100377,0.027059832344534383,0.4819888831882633,-3.838350844797627,0.792640453486417,0.6978093579612327,1.1358982857470545,5.097854286650397,0.05656353512230098,0.05380835460699693,0.030335503528776158,0.016530836451619867,1.2815081792998344
1970,6774,43648,0.14068497195157956,0.011340725806451613,0.019768511730205277,0.5736762565248431,-3.8182917080659253,0.8202895894428153,0.738264754398827,1.1111049045146162,6.308689485812067,0.085514289905255,0.0561257704205123,0.17149010535510792,0.01620830271344133,1.2086942122140343
1980,10810,50599,0.11850138760407031,0.012411312476531157,0.014014664321429277,0.8855947022258324,-1.1078971446629857,0.816854088025455,0.7770915433111326,1.0511684177450922,3.8966272478035062,0.09477320072562127,0.05242523279251577,0.13760532083996826,0.014691516651841754,1.4225207898663677
1990,16205,77829,0.11545819191607529,0.015752483007619267,0.013294157704711611,1.18491771780595,2.0305865283737816,0.8101992830435956,0.7825061994886224,1.0353902417298047,3.131009778184572,0.27340827527374995,0.04076778881214578,0.1687192584213618,0.012361507972912696,1.9263577198992137
2000,19872,85820,0.10668276972624799,0.013784665579119086,0.011391726870193429,1.210059347120304,2.7302870209890124,0.8269867163831275,0.7978946749009556,1.0364610046880978,4.224814284353818,0.3744168412594796,0.04008373291964058,0.13810662724381084,0.011812526794829695,1.8024827322502015
2010,22689,77818,0.10895147428269206,0.01276054383304634,0.011894998586445297,1.0727654770457355,1.1186391637738509,0.8335475082885707,0.7937480402991596,1.0501411858282017,7.097587886458686,0.33379328136777303,0.041209533430734996,0.11683364436155513,0.011937410868143452,1.5945717345875614
2020,13011,32746,0.11436476827299977,0.017803701215415624,0.01318063274903805,1.350747081297366,4.335161649838219,0.7995785744823796,0.783537622915776,1.0204724713880495,2.3045625163550936,0.49518677716903614,0.05332480818920821,0.005169864347303565,0.01687084596478275,1.5794897023456869
