categoria,osservato,atteso_medio,atteso_sd,rapporto_oss_att,z,p,permutazioni
F,0.012137588744970638,0.014827530789854212,0.0008163244176900106,0.8185846259227345,-3.2951875340142607,0.998,1000
M,0.8058120044952611,0.7445642204825885,0.006029555602963061,1.0822599076450046,10.157926727232443,0.0,1000
mixed,0.0006194408539462027,0.0002349732854145651,4.2761078958215006e-05,2.636218210309817,8.991063319691467,0.0,1000
