classe,supporto,veri_positivi,falsi_positivi,falsi_negativi,precisione,richiamo,f1
M,119,106,3,13,0.9724770642201835,0.8907563025210085,0.9298245614035089
F,57,53,6,4,0.8983050847457628,0.9298245614035088,0.9137931034482759
mixed,0,0,0,0,,,
unknown,24,19,13,5,0.59375,0.7916666666666666,0.6785714285714286
media ponderata,200,178,22,22,0.9058908023635516,0.89,0.8951052199464178
