musical_genre,Blues,Brass & Military,Children's,Classical,Electronic,"Folk, World, & Country",Funk / Soul,Hip Hop,Jazz,Latin,Non-Music,Pop,Reggae,Rock,Stage & Screen,Unknown
Blues,61.05263157894698,0.32722513089005095,0.3591309032142211,0.6860112097150876,0.3735631575716916,0.764068146618482,1.7704062616474068,0.3385484196271646,1.8756698821007494,0.880436696601511,0.2840102243680763,0.5498426636173178,1.6420361247947415,1.6498290994820894,0.22403106564110226,1.8643103146342908
Brass & Military,0.32722513089005095,324.4897959183677,1.5101592531575994,3.2165832737669735,0.03220114120844441,2.4104683195592305,0.8792497069167596,0.0,0.7813332386262745,1.350621285791458,2.598527501082706,0.8312788418989819,0.3144654088050302,0.3490046097692206,2.512849800114215,1.1200070970746747
Children's,0.3591309032142211,1.5101592531575994,41.342973617414,0.9193917105655495,0.19953226760333012,0.9038211181872549,0.44038754103611155,0.06735862343467744,0.43449484921513093,1.327870096365427,3.9519729697115937,1.4803035420029491,0.0,0.23756125255177007,1.55128796677857,0.7313996696304875
Classical,0.6860112097150876,3.2165832737669735,0.9193917105655495,21.246538961405918,0.19507962914795174,0.9444404083743236,0.44852243893687344,0.05361248893001387,1.2137342068320067,0.71612370733602,2.7270221312120984,0.4986864149736083,0.11545011112073218,0.4175862147651446,1.3157623165672543,1.7075855122104426
Electronic,0.3735631575716916,0.03220114120844441,0.19953226760333012,0.19507962914795174,2.6995286300182273,0.183014432567449,0.5827085068962329,0.2559506376005228,0.30452447607400834,0.46515390527039635,0.1503691456632268,0.2698707524845195,0.48581016419338835,0.3597063031482197,0.21051965996983532,0.6307617170786186
"Folk, World, & Country",0.764068146618482,2.4104683195592305,0.9038211181872549,0.9444404083743236,0.183014432567449,6.843129325561158,0.7867891766748668,0.0880403961607372,0.7663440761344311,1.783477998013561,1.6138863491535755,1.0132416272313365,0.5883255742569186,0.475621796765358,0.5699985590436428,1.1230955878741011
Funk / Soul,1.7704062616474068,0.8792497069167596,0.44038754103611155,0.44852243893687344,0.5827085068962329,0.7867891766748668,20.092547491475862,0.9345319075894163,1.613331321006094,1.624632523595852,0.15833808347583744,1.0173088352725401,2.2313296903460795,0.7184518761650225,2.7297692851622246,0.9121289184802749
Hip Hop,0.3385484196271646,0.0,0.06735862343467744,0.05361248893001387,0.2559506376005228,0.0880403961607372,0.9345319075894163,17.127690173419467,0.13765293321143887,0.07776701003792644,0.014402442654274143,0.24671186072385254,2.9220640721202376,0.315606425497028,0.15642446733017779,0.8260502374617117
Jazz,1.8756698821007494,0.7813332386262745,0.43449484921513093,1.2137342068320067,0.30452447607400834,0.7663440761344311,1.613331321006094,0.13765293321143887,7.737190745893606,0.9802672208444017,0.5793145042893081,0.6986078841502044,0.2853582119105024,0.6391847030905584,1.7295636754164694,1.28322153950979
Latin,0.880436696601511,1.350621285791458,1.327870096365427,0.71612370733602,0.46515390527039635,1.783477998013561,1.624632523595852,0.07776701003792644,0.9802672208444017,26.751962779877747,1.1241273222103871,1.548382395802973,0.6945650286508048,0.3260366979003234,0.6936124598020054,0.8766202360224412
Non-Music,0.2840102243680763,2.598527501082706,3.9519729697115937,2.7270221312120984,0.1503691456632268,1.6138863491535755,0.15833808347583744,0.014402442654274143,0.5793145042893081,1.1241273222103871,104.73484848484811,0.5521236646029074,0.06936736958934503,0.23717364905889485,1.4502175326298965,1.014925951583914
Pop,0.5498426636173178,0.8312788418989819,1.4803035420029491,0.4986864149736083,0.2698707524845195,1.0132416272313365,1.0173088352725401,0.24671186072385254,0.6986078841502044,1.548382395802973,0.5521236646029074,2.2384624310193972,0.3429770821481456,0.5499748348352487,1.2866335190012912,0.505178030344263
Reggae,1.6420361247947415,0.3144654088050302,0.0,0.11545011112073218,0.48581016419338835,0.5883255742569186,2.2313296903460795,2.9220640721202376,0.2853582119105024,0.6945650286508048,0.06936736958934503,0.3429770821481456,101.8287614297584,1.1499293248305433,0.07464357692020601,1.5362312568968135
Rock,1.6498290994820894,0.3490046097692206,0.23756125255177007,0.4175862147651446,0.3597063031482197,0.475621796765358,0.7184518761650225,0.315606425497028,0.6391847030905584,0.3260366979003234,0.23717364905889485,0.5499748348352487,1.1499293248305433,4.311031792321952,0.41614284321787126,1.0097977366569022
Stage & Screen,0.22403106564110226,2.512849800114215,1.55128796677857,1.3157623165672543,0.21051965996983532,0.5699985590436428,2.7297692851622246,0.15642446733017779,1.7295636754164694,0.6936124598020054,1.4502175326298965,1.2866335190012912,0.07464357692020601,0.41614284321787126,17.720369541757705,0.41093522969487106
Unknown,1.8643103146342908,1.1200070970746747,0.7313996696304875,1.7075855122104426,0.6307617170786186,1.1230955878741011,0.9121289184802749,0.8260502374617117,1.28322153950979,0.8766202360224412,1.014925951583914,0.505178030344263,1.5362312568968135,1.0097977366569022,0.41093522969487106,3.7397576965782524
