estimate,se,mcmc_se,p,Pr(>|z|),term,ci_lo,ci_hi,or,model,metodo,n_nodi,n_archi,secondi,decennio
-6.73560313246575,0.259583824267359,0,-25.9476997516163,1.93030585038248e-148,edges,-7.24437807899895,-6.22682818593256,0.001187858548006,MPLE,MPLE,150,514,0.318356513977051,1930
-0.492918326826446,1.05493322823726,0,-0.467250735527675,0.64032049845925,nodematch.gender.F,-2.56054946026605,1.57471280661316,0.610841156364408,MPLE,MPLE,150,514,0.318356513977051,1930
0.0833572469312685,0.135356568533347,0,0.615834516451505,0.538003744076089,nodematch.gender.M,-0.181936752465018,0.348651246327555,1.08693004161844,MPLE,MPLE,150,514,0.318356513977051,1930
0.521279405612188,0.108647468917465,0,4.79789737217146,1.60339891328299e-06,nodematch.musical_genre,0.308334279522521,0.734224531701856,1.68418102253868,MPLE,MPLE,150,514,0.318356513977051,1930
0.18526492963723,0.0225781402780119,0,8.20549998166384,2.2963322591984e-16,nodecov.log_nrel,0.141012587854434,0.229517271420026,1.20353725058185,MPLE,MPLE,150,514,0.318356513977051,1930
1.48446465107316,0.0602156974988588,0,24.6524529770878,3.4638375402297797e-134,gwesp.fixed.0.25,1.36644405267144,1.60248524947488,4.4126024983311,MPLE,MPLE,150,514,0.318356513977051,1930
-6.89379385927443,0.218280560714998,0,-31.582262005802,6.46958271223772e-219,edges,-7.32161589680103,-6.46597182174782,0.0010140593354782,M1_con_gwesp,MCMLE,150,514,1280.37872457504,1930
-0.26234363639614,0.979168883412816,0,-0.267924809336017,0.788757196527881,nodematch.gender.F,-2.18147938266756,1.65679210987528,0.769246637141624,M1_con_gwesp,MCMLE,150,514,1280.37872457504,1930
0.0110713765699401,0.0779958332372007,0,0.141948308139357,0.887120836239532,nodematch.gender.M,-0.141797647519165,0.163940400659046,1.01113289106663,M1_con_gwesp,MCMLE,150,514,1280.37872457504,1930
0.275075521425323,0.064800975244471,0,4.24492872811808,2.18662911524687e-05,nodematch.musical_genre,0.148067943783088,0.402083099067558,1.31663010489517,M1_con_gwesp,MCMLE,150,514,1280.37872457504,1930
0.0835965705357518,0.014269600164893,0,5.85836810910944,4.674376293219261e-09,nodecov.log_nrel,0.0556286681387748,0.111564472932729,1.0871902007637,M1_con_gwesp,MCMLE,150,514,1280.37872457504,1930
2.39131307615508,0.161598089157724,0,14.7979044097551,1.5111780258663699e-49,gwesp.fixed.0.25,2.07458664143545,2.70803951087471,10.9278336041804,M1_con_gwesp,MCMLE,150,514,1280.37872457504,1930
-7.02070258320798,0.133447231759473,0,-52.6103276226981,0.0,edges,-7.28225435129312,-6.75915081512285,0.0008931977266215,MPLE,MPLE,338,1932,8.5560359954834,1940
0.0297029674769527,0.286152087248592,0,0.103801330832679,0.917327010324708,nodematch.gender.F,-0.531144817631251,0.590550752585156,1.03014850089655,MPLE,MPLE,338,1932,8.5560359954834,1940
-0.337873311092282,0.0606386828498955,0,-5.57191045736681,2.5196092087817e-08,nodematch.gender.M,-0.456722945548024,-0.21902367663654,0.713285647553958,MPLE,MPLE,338,1932,8.5560359954834,1940
0.449076139753452,0.0550107726323321,0,8.16342178567243,3.25664854345778e-16,nodematch.musical_genre,0.34125700663236,0.556895272874545,1.5668639532929,MPLE,MPLE,338,1932,8.5560359954834,1940
0.222806623754406,0.0124000897363585,0,17.968146077291,3.4608850138539697e-72,nodecov.log_nrel,0.198502894466079,0.247110353042733,1.24957891149239,MPLE,MPLE,338,1932,8.5560359954834,1940
1.54185895168008,0.0322856167814807,0,47.756837421316,0.0,gwesp.fixed.0.25,1.47858030556972,1.60513759779045,4.67326958362126,MPLE,MPLE,338,1932,8.5560359954834,1940
-8.8475252299038,0.200427767275508,0,-44.1432110439168,0.0,edges,-9.24035643526557,-8.45469402454203,0.0001437370125417,M1_con_gwesp,MCMLE,338,1932,3133.39953041077,1940
-0.245602123459138,0.265509404204564,0,-0.925022313973903,0.354954300555833,nodematch.gender.F,-0.765990993256771,0.274786746338495,0.782233395335152,M1_con_gwesp,MCMLE,338,1932,3133.39953041077,1940
-0.172799326801984,0.0415057415084513,0,-4.16326321424227,3.13731352902326e-05,nodematch.gender.M,-0.254149085310178,-0.0914495682937903,0.841306425557092,M1_con_gwesp,MCMLE,338,1932,3133.39953041077,1940
0.360453283147906,0.0372162370614905,0,9.6853769109528,3.47922819883187e-22,nodematch.musical_genre,0.28751079886728,0.433395767428532,1.43397926590156,M1_con_gwesp,MCMLE,338,1932,3133.39953041077,1940
0.0972293789776862,0.0085962564930238,0,11.310665178103,1.16205189958561e-29,nodecov.log_nrel,0.080381025849491,0.114077732105881,1.10211314621632,M1_con_gwesp,MCMLE,338,1932,3133.39953041077,1940
3.58183287356937,0.165875376570724,0,21.5935176613883,2.06668177269978e-103,gwesp.fixed.0.25,3.25672310956873,3.90694263757001,35.9393528059969,M1_con_gwesp,MCMLE,338,1932,3133.39953041077,1940
-10.1768584233344,0.0537806456916358,0,-189.229011523696,0.0,edges,-10.2822665519553,-10.0714502947134,3.80405286437549e-05,MPLE,MPLE,1398,15177,17.3014092445374,1950
-0.0562241397879006,0.0999726397559534,0,-0.562395270597548,0.573846740615116,nodematch.gender.F,-0.252166913148966,0.139718633573165,0.945327226698554,MPLE,MPLE,1398,15177,17.3014092445374,1950
0.0640140621060715,0.0229349527865314,0,2.7911137512201,0.0052527008559489,nodematch.gender.M,0.0190623806573434,0.1089657435548,1.06610739037131,MPLE,MPLE,1398,15177,17.3014092445374,1950
-0.546344054332131,1.02928256817619,0,-0.530800842474398,0.595556796198406,nodematch.gender.mixed,-2.56370081787235,1.47101270920809,0.579062967981319,MPLE,MPLE,1398,15177,17.3014092445374,1950
0.710831596449712,0.0193644546480517,0,36.7080617228345,5.43128746081045e-295,nodematch.musical_genre,0.672877962759271,0.748785230140153,2.03568342205721,MPLE,MPLE,1398,15177,17.3014092445374,1950
0.386989486655072,0.0042856111497365,0,90.2997199544946,0.0,nodecov.log_nrel,0.378589843149845,0.395389130160299,1.4725410098602,MPLE,MPLE,1398,15177,17.3014092445374,1950
0.181775262435686,0.017753372375042,0,10.238914533851,1.32716956096376e-24,nodematch.cohort_decade,0.146979291976475,0.216571232894896,1.19934462579999,MPLE,MPLE,1398,15177,17.3014092445374,1950
1.94408570403209,0.0162414219586841,0,119.699230090664,0.0,gwesp.fixed.0.25,1.91225310193536,1.97591830612883,6.98724052785446,MPLE,MPLE,1398,15177,17.3014092445374,1950
-10.5519018972684,0.0253362090123493,0,-416.475167698737,0.0,edges,-10.6015599544374,-10.5022438400994,2.61437109017241e-05,MPLE,MPLE,4622,45399,9.61504793167114,1960
0.0138975697446513,0.0455131822669645,0,0.305352626479357,0.760097598398863,nodematch.gender.F,-0.0753066283204062,0.103101767809709,1.01399458989415,MPLE,MPLE,4622,45399,9.61504793167114,1960
0.0141298231698705,0.0121511081999328,0,1.16284234634242,0.244893472562067,nodematch.gender.M,-0.0096859112742471,0.0379455576139881,1.0142301209612,MPLE,MPLE,4622,45399,9.61504793167114,1960
0.0744895299960772,0.326257958914478,0,0.228314828683162,0.819401497353526,nodematch.gender.mixed,-0.564964319145848,0.713943379138003,1.07733406377133,MPLE,MPLE,4622,45399,9.61504793167114,1960
0.83791330349603,0.0108045192463158,0,77.5521135548668,0.0,nodematch.musical_genre,0.816736834902981,0.859089772089079,2.31153846148379,MPLE,MPLE,4622,45399,9.61504793167114,1960
0.380208044851437,0.0022081638979161,0,172.182891501052,0.0,nodecov.log_nrel,0.375880123139559,0.384535966563314,1.46258884186237,MPLE,MPLE,4622,45399,9.61504793167114,1960
0.190227210057383,0.0101416772823637,0,18.7569772495312,1.6978452019661298e-78,nodematch.cohort_decade,0.170349887841123,0.210104532273644,1.20952438254349,MPLE,MPLE,4622,45399,9.61504793167114,1960
1.77709376917623,0.006897717763716,0,257.635036696376,0.0,gwesp.fixed.0.25,1.76357449078382,1.79061304756863,5.91264790515516,MPLE,MPLE,4622,45399,9.61504793167114,1960
-9.47061023704751,0.0232850082425494,0,-406.725655339971,0.0,edges,-9.51624801458263,-9.4249724595124,7.70843533986586e-05,MPLE,MPLE,11772,33548,7.15993523597717,2020
0.614713786164844,0.0469267053947438,0,13.0994447829635,3.31675042626453e-39,nodematch.gender.F,0.522739133678024,0.706688438651663,1.84912727800243,MPLE,MPLE,11772,33548,7.15993523597717,2020
0.0854521169975391,0.0156816579168363,0,5.44917619365967,5.06036631867182e-08,nodematch.gender.M,0.0547166322626625,0.116187601732416,1.08920940547874,MPLE,MPLE,11772,33548,7.15993523597717,2020
0.366666423537936,0.440598440256836,0,0.83220091138815,0.405295549539159,nodematch.gender.mixed,-0.496890651009985,1.23022349808586,1.44291651584083,MPLE,MPLE,11772,33548,7.15993523597717,2020
1.14382827294007,0.0125621696791134,0,91.0534009775294,0.0,nodematch.musical_genre,1.11920687280133,1.16844967307882,3.13876142962331,MPLE,MPLE,11772,33548,7.15993523597717,2020
0.0915546079199971,0.002542789869328,0,36.00557365135,6.84326147598493e-284,nodecov.log_nrel,0.0865708313558608,0.0965383844841333,1.09587661860132,MPLE,MPLE,11772,33548,7.15993523597717,2020
0.333134966693249,0.0141053822408216,0,23.6175780993117,2.54314461636061e-123,nodematch.cohort_decade,0.305488925513068,0.36078100787343,1.39533560959485,MPLE,MPLE,11772,33548,7.15993523597717,2020
2.57152142541892,0.0051969588135428,0,494.812739080736,0.0,gwesp.fixed.0.25,2.56133557331524,2.5817072775226,13.0857182479926,MPLE,MPLE,11772,33548,7.15993523597717,2020
