estimate,se,mcmc_se,p,Pr(>|z|),term,ci_lo,ci_hi,or,model,metodo,n_nodi,n_archi,secondi,scala
-12.1865997398273,0.0066447915438811,0,-1834.00783295441,0.0,edges,-12.1996232919381,-12.1735761877165,5.09831869707032e-06,MPLE,MPLE,56915,521438,362.38228726387,_mple_integrale
0.187171814918478,0.0138120349715307,0,13.5513568640882,7.777898616032369e-42,nodematch.gender.F,0.16010072382107,0.214242906015886,1.20583444759992,MPLE,MPLE,56915,521438,362.38228726387,_mple_integrale
0.228064869613345,0.0038403433289147,0,59.3865834588792,0.0,nodematch.gender.M,0.220537935000403,0.235591804226286,1.25616680984464,MPLE,MPLE,56915,521438,362.38228726387,_mple_integrale
1.72146373722548,0.0594462844200979,0,28.9583067136737,2.20572410649149e-184,nodematch.gender.mixed,1.60495116074736,1.83797631370359,5.59270873189653,MPLE,MPLE,56915,521438,362.38228726387,_mple_integrale
1.05984796852418,0.0031152181430965,0,340.216292997926,0.0,nodematch.musical_genre,1.05374225315973,1.06595368388864,2.88593220338218,MPLE,MPLE,56915,521438,362.38228726387,_mple_integrale
0.245495270076173,0.0006067272899768,0,404.622099799614,0.0,nodecov.log_nrel,0.244306106439381,0.246684433712965,1.2782542375313,MPLE,MPLE,56915,521438,362.38228726387,_mple_integrale
0.770075754678224,0.0031083978551906,0,247.740408581321,0.0,nodematch.cohort_decade,0.763983406832428,0.776168102524019,2.15992987237987,MPLE,MPLE,56915,521438,362.38228726387,_mple_integrale
3.83186787472437,0.0024641639979043,0,1555.03768336166,0.0,gwesp.fixed.0.25,3.82703820203647,3.83669754741226,46.148657690261,MPLE,MPLE,56915,521438,362.38228726387,_mple_integrale
-11.9204985560952,0.0069929134154763,0,-1704.65410449861,0.0,edges,-11.9342044145365,-11.9067926976539,6.65262824812702e-06,MPLE,MPLE,56915,521438,1132.16470646858,gwesp025_gwdeg
0.148886635562368,0.0138217066408478,0,10.7719429612519,4.67039582441248e-27,nodematch.gender.F,0.121796588341429,0.175976682783308,1.1605414176263,MPLE,MPLE,56915,521438,1132.16470646858,gwesp025_gwdeg
0.222093074612746,0.0038385092774561,0,57.8591996421927,0.0,nodematch.gender.M,0.214569734674609,0.229616414550883,1.24868759357005,MPLE,MPLE,56915,521438,1132.16470646858,gwesp025_gwdeg
1.68556912583383,0.0593864016560025,0,28.3830823022001,3.27087935097313e-177,nodematch.gender.mixed,1.56917391741664,1.80196433425103,5.39552078896727,MPLE,MPLE,56915,521438,1132.16470646858,gwesp025_gwdeg
1.03780094213231,0.003116626009838,0,332.988603334615,0.0,nodematch.musical_genre,1.03169246739975,1.04390941686487,2.82300223824737,MPLE,MPLE,56915,521438,1132.16470646858,gwesp025_gwdeg
0.216329392330982,0.0006542540290473,0,330.650454909653,0.0,nodecov.log_nrel,0.215047077997308,0.217611706664655,1.24151125594305,MPLE,MPLE,56915,521438,1132.16470646858,gwesp025_gwdeg
0.75061687286464,0.0031119429944085,0,241.205213017501,0.0,nodematch.cohort_decade,0.744517576673657,0.756716169055622,2.11830633935347,MPLE,MPLE,56915,521438,1132.16470646858,gwesp025_gwdeg
3.89003496968074,0.0025479932078076,0,1526.70539221247,0.0,gwesp.fixed.0.25,3.88504099476059,3.8950289446009,48.9125969517249,MPLE,MPLE,56915,521438,1132.16470646858,gwesp025_gwdeg
-2.6540827093241,0.0239920426572408,0,-110.6234574205,0.0,gwdeg.fixed.0.5,-2.70110624884784,-2.60705916980036,0.0703633527190089,MPLE,MPLE,56915,521438,1132.16470646858,gwesp025_gwdeg
-12.3700398299732,0.0078775469691581,0,-1570.29083779557,0.0,edges,-12.3854795383193,-12.3546001216271,4.24384937139682e-06,MPLE,MPLE,56915,521438,294.174132823944,gwesp050_stocapp
0.17313021386503,0.0141639903163508,0,12.223265478032,2.33512771047723e-34,nodematch.gender.F,0.145369302967609,0.200891124762452,1.18902092201402,MPLE,MPLE,56915,521438,294.174132823944,gwesp050_stocapp
0.259526458785741,0.0040464174996217,0,64.1373409466519,0.0,nodematch.gender.M,0.25159562622007,0.267457291351413,1.29631608220741,MPLE,MPLE,56915,521438,294.174132823944,gwesp050_stocapp
2.40781973127544,0.0668447994908559,0,36.0210480039636,3.91788805538317e-284,nodematch.gender.mixed,2.27680633171956,2.53883313083132,11.1097125616199,MPLE,MPLE,56915,521438,294.174132823944,gwesp050_stocapp
0.848620545476168,0.0032557187348177,0,260.655362025206,0.0,nodematch.musical_genre,0.842239454012133,0.855001636940203,2.3364216405196,MPLE,MPLE,56915,521438,294.174132823944,gwesp050_stocapp
0.115837939075271,0.0006193240565255,0,187.039301726998,0.0,nodecov.log_nrel,0.114624086229722,0.11705179192082,1.12281389312999,MPLE,MPLE,56915,521438,294.174132823944,gwesp050_stocapp
0.583214553464149,0.0032763443648187,0,178.007708752071,0.0,nodematch.cohort_decade,0.576793036508153,0.589636070420144,1.79178898455419,MPLE,MPLE,56915,521438,294.174132823944,gwesp050_stocapp
4.17613841419507,0.0028613775546095,0,1459.48527745579,0.0,gwesp.fixed.0.5,4.17053021724186,4.18174661114828,65.113924099119,MPLE,MPLE,56915,521438,294.174132823944,gwesp050_stocapp
-15.8690513085713,0.0175499902821186,3,-904.219948471422,0.0,edges,-15.9034486574532,-15.8346539596893,1.28279891417465e-07,M1_con_gwesp,MCMLE,56915,521438,4089.10046839714,gwesp050_stocapp
3.46219518603314,0.0467153047385532,3,74.1126533458286,0.0,nodematch.gender.F,3.37063487121876,3.55375550084752,31.8868974137418,M1_con_gwesp,MCMLE,56915,521438,4089.10046839714,gwesp050_stocapp
0.756566763408684,0.0113592417959792,3,66.6036322667664,0.0,nodematch.gender.M,0.734303058596883,0.778830468220486,2.13094759997694,M1_con_gwesp,MCMLE,56915,521438,4089.10046839714,gwesp050_stocapp
-2.70620493234817,0.329643649687685,3,-8.20948601592088,2.2213733398175e-16,nodematch.gender.mixed,-3.35229461346837,-2.06011525122797,0.0667897981540068,M1_con_gwesp,MCMLE,56915,521438,4089.10046839714,gwesp050_stocapp
-1.09222079126261,0.0138263327838539,2,-78.9956967141772,0.0,nodematch.musical_genre,-1.11931990555722,-1.06512167696799,0.335470655537145,M1_con_gwesp,MCMLE,56915,521438,4089.10046839714,gwesp050_stocapp
0.327229313274461,0.0013570898500638,3,241.125753949942,0.0,nodecov.log_nrel,0.324569466044551,0.329889160504371,1.38711952563303,M1_con_gwesp,MCMLE,56915,521438,4089.10046839714,gwesp050_stocapp
-0.891523777114454,0.0145868780186824,2,-61.1182033587051,0.0,nodematch.cohort_decade,-0.920113532677951,-0.862934021550958,0.410030481422438,M1_con_gwesp,MCMLE,56915,521438,4089.10046839714,gwesp050_stocapp
5.44316783907333,0.0052364895598201,2,1039.46886113151,0.0,gwesp.fixed.0.5,5.43290450813066,5.453431170016,231.173344702682,M1_con_gwesp,MCMLE,56915,521438,4089.10046839714,gwesp050_stocapp
