rete,nodi_totali,nodi_con_archi,archi,densita,grado_medio,grado_mediano,grado_max,componenti,componente_gigante,quota_componente_gigante,peso_totale
all,87229,70712,586040,0.00023441055079857193,16.57540445751782,7.0,2258,1204,67443,0.953770222875891,1495529.570002312
creative,87229,30440,199832,0.0004313402661077093,13.129566360052563,4.0,1348,1530,26538,0.8718134034165571,866621.3100002555
performance,87229,49152,211751,0.0001752999989297437,8.616170247395834,4.0,598,2493,42013,0.8547566731770834,430596.67000038933
