decennio,genere_musicale,quota_legami_intra_genere,artisti,donne,uomini,quota_donne,legami,legami_FF,legami_MM,legami_MF,grado_medio_relativo_F,densita_FF,densita_MM,densita_MF,FF_su_MF,FF_su_MF_lo,FF_su_MF_hi,MM_su_MF,MM_su_MF_lo,MM_su_MF_hi,FF_su_MM,oe_FF_grado,z_FF_grado,oe_MM_grado,z_MM_grado,oe_MF_grado,z_MF_grado,affidabile
1960,Classical,0.6593832958954462,222,38,184,0.17117117117117117,363,14,264,85,0.909308394954328,0.01991465149359886,0.015680684248039915,0.01215675057208238,1.6381558028616852,0.9307575074075887,2.8831939716756483,1.2898746383799422,1.0101647431887366,1.6470348959951087,1.270011638432691,1.4986084350246198,1.8029922685731068,1.0244152296397473,0.6906003081005366,0.8858780614903595,-1.2157233348956102,True
1960,Jazz,0.6593832958954462,193,4,189,0.02072538860103627,446,0,423,23,1.2441143497757847,0.0,0.023809523809523808,0.03042328042328042,0.0,,,0.782608695652174,0.5143894804624388,1.1906860341696288,0.0,0.0,-0.49773866864234173,1.0041066299522872,0.3042788653397037,0.9387755102040817,-0.2671720209979327,False
1960,Stage & Screen,0.6593832958954462,122,15,107,0.12295081967213115,266,7,185,74,1.345363408521303,0.06666666666666667,0.0326221125022042,0.04610591900311527,1.4459459459459458,0.6661147259231577,3.1387381140688126,0.7075471698113207,0.5403483470385375,0.9264819634440478,2.0436036036036036,0.9887005649717514,-0.02430357193477809,1.0109400102733364,0.1316888036564639,0.9746845446642607,-0.14687838698435812,False
1960,Children's,0.6593832958954462,112,46,66,0.4107142857142857,212,34,83,95,0.9360131255127154,0.03285024154589372,0.0386946386946387,0.031291172595520424,1.0498245614035087,0.7095861181594444,1.5532034541273536,1.2365991902834008,0.9211601566186011,1.6600561220785695,0.8489610616378558,0.8854166666666667,-0.5772100760790326,1.2295567670063996,1.5805480101157816,0.8954154727793696,-1.5748584133167043,True
1960,Non-Music,0.6593832958954462,185,30,155,0.16216216216216217,488,13,355,120,0.9224726775956282,0.029885057471264367,0.02974444909928781,0.025806451612903226,1.1580459770114941,0.6534034858861271,2.0524385220470394,1.1525974025974026,0.9371166133886247,1.417625889344205,1.0047272138578598,1.5888535810315325,1.5566222128123492,0.971421065881503,-0.9035397101572917,1.0491895011103922,0.5323359011897066,True
1970,(all genres),0.5628634190463884,7149,949,6200,0.13274583857882222,46434,495,38351,7588,0.6958234067157558,0.0011004254978591722,0.0019956912925601943,0.0012896427478840205,0.8532793284533208,0.7791187468468762,0.9344989006006349,1.5474760710550437,1.5098332408407273,1.5860574040312643,0.551400660994757,1.2196083455704811,4.761862270703441,1.001609009618121,2.537787492839751,0.9805213768649678,-3.7213582666259826,True
1970,Electronic,0.5628634190463884,234,28,206,0.11965811965811966,210,2,176,32,0.7163265306122449,0.005291005291005291,0.008335306654037413,0.005547850208044383,0.9537037037037036,0.22855338738126807,3.979598661300381,1.5024390243902437,1.030891340960805,2.1896808444494753,0.6347703222703223,1.1273957158962795,0.18391960897839355,1.0067958721369241,0.5559792581121226,0.9576824085712575,-0.48083279954979846,False
1970,Rock,0.5628634190463884,706,32,674,0.0453257790368272,1684,2,1597,85,0.5830054928741092,0.004032258064516129,0.007041415161308812,0.0039410237388724035,1.0231499051233397,0.2517664188749631,4.157964088426733,1.7866969670483348,1.4364755224257324,2.2223045239705876,0.5726488173389622,1.243781094527363,0.31992393325245816,1.001752596590403,0.4975767857816545,0.9638718163880887,-0.5593409514758093,False
1970,Pop,0.5628634190463884,2292,333,1959,0.14528795811518325,19561,202,15846,3513,0.6891327706214471,0.003654256666304859,0.008262329751739047,0.005385170775676135,0.6785776753469901,0.5888576223692038,0.7819677354717497,1.5342744168965876,1.479207734568048,1.5913910746490039,0.4422792089042095,1.0094952523738132,0.13847361765214533,1.0017634222453686,0.5411233650269892,0.9915902533424185,-0.5841328974235873,True
1970,"Folk, World, & Country",0.5628634190463884,873,110,763,0.12600229095074456,2292,31,1865,396,0.7929438362684437,0.005170975813177648,0.00641548246836118,0.00471821756225426,1.0959595959595958,0.7603964902171285,1.5796067596694758,1.3597258675998833,1.2199814604357615,1.5154774846823238,0.8060151108944674,1.3188122181570663,1.7223341693714425,1.0081571535912557,1.130528269374018,0.9460466716358007,-1.5748546684463425,True
1970,Classical,0.5628634190463884,295,61,234,0.20677966101694914,457,27,289,141,1.0317645370735733,0.014754098360655738,0.010601225193499871,0.009878100042034469,1.4936170212765958,0.989519605136563,2.25452006677451,1.0732048823547315,0.8774885029968365,1.3125741426542492,1.3917352090305748,1.3614360629286002,1.9248581790280679,1.0187176142972965,0.9581134207435782,0.9186984453797938,-1.6126069212137089,True
1970,Jazz,0.5628634190463884,411,17,394,0.0413625304136253,1115,0,1050,65,0.704695331047217,0.0,0.013562211802999186,0.009704389369961182,0.0,,,1.3975337639459777,1.087834710368534,1.7954020061626321,0.0,0.0,-0.951140370974526,0.9979603591136592,-1.4036765125656985,1.047880058036434,1.4326451504192035,False
1970,Stage & Screen,0.5628634190463884,179,28,151,0.1564245810055866,516,6,411,99,0.6876038205980067,0.015873015873015872,0.03629139072847682,0.023415326395458846,0.6778900112233445,0.29735525939926416,1.5454068922297435,1.5498989898989899,1.2445280752114531,1.9301990262306958,0.43737689723091183,0.9319664492078286,-0.1728244095279469,1.0174828810361987,0.7048517737264218,0.9372869802317656,-0.7026941322045522,False
1980,(all genres),0.5283885176751651,11502,1289,10213,0.11206746652756043,53578,603,44340,8635,0.8194891051729979,0.0007264045025032646,0.000850279182668848,0.0006559278827232849,1.107445683643413,1.0196902723549237,1.2027534001947806,1.296299799207581,1.2667556620453777,1.326532984831782,0.8543129331041991,1.3042406204984232,6.020817945928702,1.004677892654359,1.6619477032018732,0.9613549772358713,-2.959498055929921,True
1980,Electronic,0.5283885176751651,2550,330,2220,0.12941176470588237,9197,90,7555,1552,0.7276088052428163,0.0016579165515335729,0.00306728540167026,0.0021184821184821183,0.7825964340550874,0.6327712804946659,0.9678966120538107,1.4478693848348148,1.370902723129726,1.5291571897647864,0.5405159072027568,1.0453690152623878,0.3889178774509025,1.004650247405928,0.8922354433675962,0.9755631488563534,-1.0427458225409694,True
1980,Rock,0.5283885176751651,1531,72,1459,0.047028086218158065,3297,14,3052,231,0.8352058268459542,0.005477308294209703,0.002869470135228011,0.00219899474525931,2.4908237302603498,1.4522894267009956,4.2720154406973005,1.3049008604564158,1.1415388640734638,1.49164107259892,1.9088221992505492,2.6768642447418736,4.138781947831213,1.003007708567763,4.174467946709626,0.928001542651915,-4.183020612307467,True
1980,Pop,0.5283885176751651,2393,321,2072,0.13414124529878813,11722,213,9246,2263,0.8550603253673764,0.004147196261682243,0.004309372488995859,0.0034024344772008324,1.218890852850199,1.05914949221345,1.4027244709875892,1.2665556141851586,1.209652462618249,1.3261355417338556,0.9623666258306195,1.3326159313296126,3.935266685091038,1.0130251411234081,2.0381488415937863,0.9293458932603327,-3.1447122119009525,True
1980,"Folk, World, & Country",0.5283885176751651,706,65,641,0.09206798866855524,1997,16,1721,260,0.79408343284157,0.007692307692307693,0.008390210608424337,0.0062402496099844,1.2326923076923078,0.744046907160411,2.0422507113737485,1.34453125,1.1801391377274255,1.531823006656439,0.9168193805032853,1.4116816657843656,1.4729790973319512,1.0098366658138895,1.1665733088925294,0.9238531784102618,-1.487720695726177,True
1980,Classical,0.5283885176751651,403,78,325,0.1935483870967742,573,19,409,145,0.8250436300174521,0.006327006327006327,0.007768281101614435,0.005719921104536489,1.1061352440662786,0.6856854974869562,1.7843970488654546,1.3581098339719029,1.1237335754268993,1.641369770793304,0.8144667068872448,1.1969257906009827,0.9236953841455788,1.0217592245621923,1.6237048435910286,0.9245326328138946,-1.6331787319538433,True
