scenario,count,mean,std,min,max,ci_lo,ci_hi
migliore_omofilia_min,1,0.049945581216275736,,0.049945581216275736,0.049945581216275736,,
peggiore_omofilia_max,1,0.06231894400300079,,0.06231894400300079,0.06231894400300079,,
solo_noti,1,0.043150446936360685,,0.043150446936360685,0.043150446936360685,,
status_quo,200,0.03291638986889309,0.0007490956858726544,0.030765874290093184,0.03491891497127242,0.03125678947934222,0.034317647717630836
