musical_genre,cohort_decade,n_artisti,n_noti,n_donne,quota_donne,ci_lo,ci_hi,rapporto_uomini_donne
Children's,2020,1,1.0,0.0,0.0,0.0,0.7934567085261071,
Classical,1940,158,127.0,34.0,0.2677165354330709,0.19836232021253514,0.3507107574630665,2.735294117647059
Classical,1950,247,195.0,40.0,0.20512820512820512,0.1544107700961666,0.26723942785033955,3.875
Classical,1960,445,355.0,63.0,0.17746478873239438,0.14123617326362115,0.22059924381176815,4.634920634920635
Classical,1970,516,427.0,96.0,0.22482435597189696,0.18778145945635932,0.26677446086331263,3.4479166666666665
Classical,1980,816,714.0,159.0,0.22268907563025211,0.19370090073391805,0.2546453639573454,3.490566037735849
Classical,1990,944,793.0,211.0,0.266078184110971,0.2365020850390961,0.2979097729763489,2.758293838862559
Classical,2000,446,379.0,111.0,0.2928759894459103,0.2493205151058687,0.34058820954683366,2.4144144144144146
Classical,2010,223,187.0,62.0,0.3315508021390374,0.2680629642261224,0.4018203316590514,2.0161290322580645
Classical,2020,30,23.0,7.0,0.30434782608695654,0.15603828020972454,0.5086612906057261,2.2857142857142856
Electronic,1940,50,25.0,4.0,0.16,0.06403347608577989,0.34654013980238163,5.25
Electronic,1950,43,31.0,3.0,0.0967741935483871,0.03346403609464399,0.2490028999817704,9.333333333333334
Electronic,1960,198,152.0,14.0,0.09210526315789473,0.05565814076397554,0.14866214342201842,9.857142857142858
Electronic,1970,862,652.0,82.0,0.12576687116564417,0.10248668511747891,0.15343120725165413,6.951219512195122
Electronic,1980,4107,3094.0,437.0,0.14124111182934712,0.1294136413113293,0.15395836841311886,6.080091533180778
Electronic,1990,8127,5234.0,703.0,0.13431410011463507,0.12534375276637919,0.1438208588553239,6.445234708392603
Electronic,2000,5993,3952.0,415.0,0.10501012145748988,0.09583253408923653,0.11495487458759221,8.522891566265061
Electronic,2010,3675,2231.0,294.0,0.13177947108919766,0.11837416000631153,0.14645069379988215,6.58843537414966
Electronic,2020,852,417.0,90.0,0.2158273381294964,0.1790301419634006,0.2578126036206861,3.6333333333333333
"Folk, World, & Country",1940,315,209.0,22.0,0.10526315789473684,0.0705467222127186,0.1542288855632049,8.5
"Folk, World, & Country",1950,309,204.0,23.0,0.11274509803921569,0.07631172789646845,0.1634939702890728,7.869565217391305
"Folk, World, & Country",1960,962,652.0,87.0,0.1334355828220859,0.10946918863151496,0.16169628791038174,6.494252873563219
"Folk, World, & Country",1970,1119,886.0,117.0,0.13205417607223477,0.11134154495460875,0.1559437786355673,6.572649572649572
"Folk, World, & Country",1980,771,664.0,56.0,0.08433734939759036,0.06551673032849742,0.10793996958357752,10.857142857142858
"Folk, World, & Country",1990,784,625.0,74.0,0.1184,0.09537174636932655,0.14609065052044667,7.445945945945946
"Folk, World, & Country",2000,621,508.0,91.0,0.17913385826771652,0.14823388260972506,0.21485032156594172,4.582417582417582
"Folk, World, & Country",2010,393,316.0,69.0,0.21835443037974683,0.17633438634635373,0.26714013354099053,3.579710144927536
"Folk, World, & Country",2020,64,51.0,19.0,0.37254901960784315,0.2532032972099011,0.5097503729966575,1.6842105263157894
Funk / Soul,1940,4,1.0,0.0,0.0,0.0,0.7934567085261071,
Funk / Soul,1950,3,2.0,0.0,0.0,0.0,0.6576280471103807,
Funk / Soul,1960,105,57.0,5.0,0.08771929824561403,0.038051110766638294,0.18945112454604246,10.4
Funk / Soul,1970,350,195.0,27.0,0.13846153846153847,0.09693396873249918,0.1939588826627823,6.222222222222222
Funk / Soul,1980,181,124.0,20.0,0.16129032258064516,0.10690383789562934,0.23603304649880874,5.2
Funk / Soul,1990,116,94.0,14.0,0.14893617021276595,0.09083965063643759,0.23460065287454338,5.714285714285714
Funk / Soul,2000,157,124.0,12.0,0.0967741935483871,0.056227651260841546,0.1615543539706324,9.333333333333334
Funk / Soul,2010,216,159.0,33.0,0.20754716981132076,0.15177548839413274,0.2771173743632954,3.8181818181818183
Funk / Soul,2020,65,43.0,11.0,0.2558139534883721,0.14929365877065542,0.40238689868254857,2.909090909090909
Hip Hop,1950,2,1.0,0.0,0.0,0.0,0.7934567085261071,
Hip Hop,1960,8,5.0,0.0,0.0,0.0,0.43449149475208104,
Hip Hop,1970,8,3.0,0.0,0.0,0.0,0.5615060804490177,
Hip Hop,1980,42,29.0,3.0,0.10344827586206896,0.035814240381301043,0.26385447247069155,8.666666666666666
Hip Hop,1990,545,368.0,25.0,0.06793478260869565,0.046435163521671596,0.0983619759054393,13.72
Hip Hop,2000,573,360.0,28.0,0.07777777777777778,0.05435723069908242,0.11011434154554271,11.857142857142858
Hip Hop,2010,585,348.0,28.0,0.08045977011494253,0.056251598101869124,0.11382948383954995,11.428571428571429
Hip Hop,2020,211,108.0,20.0,0.18518518518518517,0.12319860172367544,0.2687986515345039,4.4
Jazz,1940,60,38.0,2.0,0.05263157894736842,0.014553902448536798,0.17285766881068843,18.0
Jazz,1950,235,181.0,8.0,0.04419889502762431,0.022563518157913128,0.08478028323744374,21.625
Jazz,1960,347,248.0,18.0,0.07258064516129033,0.04640038031630926,0.11180064763141663,12.777777777777779
Jazz,1970,625,509.0,50.0,0.09823182711198428,0.0753066494404813,0.1271761444670332,9.18
Jazz,1980,689,579.0,63.0,0.10880829015544041,0.08597437002943045,0.1367990215747378,8.19047619047619
Jazz,1990,652,586.0,80.0,0.13651877133105803,0.1110767837705955,0.1666954181222517,6.325
Jazz,2000,541,462.0,74.0,0.16017316017316016,0.129551556727322,0.196399582028856,5.243243243243243
