step,seconds
passata 1b (ricerca di linea),81.99
passata 2a (derivate),48.46
passata 2b (ricerca di linea),83.36
passata 3a (derivate),47.59
passata 3b (ricerca di linea),82.04
passata 4a (derivate),47.91
passata 4b (ricerca di linea),82.15
passata 5a (derivate),47.98
passata 5b (ricerca di linea),82.89
passata finale (errori standard),48.0
"periodo 2010s (22,689 nodi, 257,384,016 diadi)",699.62
passata 1a (derivate),17.07
passata 1b (ricerca di linea),28.38
passata 2a (derivate),16.88
passata 2b (ricerca di linea),27.92
passata 3a (derivate),16.9
passata 3b (ricerca di linea),28.49
passata 4a (derivate),16.77
passata 4b (ricerca di linea),28.22
passata 5a (derivate),16.98
passata 5b (ricerca di linea),28.4
passata finale (errori standard),16.9
"periodo 2020s (13,011 nodi, 84,636,555 diadi)",242.93
serie temporale esatta,2260.5
ERGM 1930s,1140.93
ERGM 1940s,2467.97
ERGM 1950s,10928.02
ERGM 2020s,13466.66
ERGM 1960s,4602.84
indici artista-release,9.86
adiacenza,1.11
"partner condivisi, arco per arco",7.68
1940s: proiezione osservata,0.01
1940s: 100 riproiezioni randomizzate,7.01
1950s: proiezione osservata,0.09
1950s: 100 riproiezioni randomizzate,96.35
rete intera: proiezione osservata,6.09
rete intera: 20 riproiezioni randomizzate,1547.54
Monte Carlo status quo (B=200),22.11
monte carlo genere,24.69
"coppie a livello traccia (685,753 tracce)",0.67
"coppie a livello release (482,731 release)",0.93
"coppie a livello traccia (1,221,010 tracce)",1.5
"coppie a livello release (711,975 release)",3.76
"coppie a livello traccia (914,334 tracce)",0.97
"coppie a livello release (607,086 release)",1.9
"coppie a livello traccia (914,334 tracce)",1.01
"coppie a livello release (607,086 release)",1.97
"coppie a livello traccia (783,557 tracce)",0.83
"coppie a livello release (513,846 release)",1.56
coppie a livello traccia (0 tracce),0.0
"coppie a livello release (607,086 release)",1.93
"coppie a livello traccia (914,334 tracce)",0.97
"coppie a livello release (607,086 release)",1.9
"coppie a livello traccia (914,334 tracce)",1.0
"coppie a livello release (607,086 release)",1.93
"coppie a livello traccia (796,182 tracce)",0.79
"coppie a livello release (534,251 release)",1.6
"coppie a livello traccia (627,225 tracce)",0.57
"coppie a livello release (444,106 release)",1.22
sensibilita',440.5
genere debole,93.43
figura f1_mixing_gender_oss_att,0.04
figura f2_mixing_genere_musicale_oss_att,0.07
figura f3_quota_donne_per_decennio,0.09
figura f4_quota_donne_genere_x_decennio,0.14
figura f5_distribuzione_gradi,0.15
figura f6_assortativita_per_strato,0.05
figura f7_omofilia_per_genere_musicale,0.06
figura f8_posizione_per_genere,0.16
figura f9_ergm_forest_gender,0.04
figura f10_montecarlo_genere,0.05
figura f11_sensibilita,0.04
figura f12_ergm_gof,0.3
composizione report,3.54
compilazione HTML/PDF,7.92
composizione report,3.69
compilazione HTML/PDF,7.96
figura fig1_composition,0.17
figura fig2_mixing,0.04
figura fig3_emergence,0.08
figura fig4_genre,0.07
figura fig5_projection,0.2
figura fig6_role_era,0.04
figura figA1_gof,0.2
composizione paper,1.13
compilazione PDF/DOCX,4.51
composizione paper,1.15
compilazione PDF/DOCX,4.53
composizione paper,1.15
compilazione PDF/DOCX,4.48
composizione paper,1.15
compilazione PDF/DOCX,4.5
composizione paper,1.14
compilazione PDF/DOCX,4.48
esportazione dataset,75.54
"copia di tabelle, figure, log e codice",0.05
checksum,1.41
archivio tar.gz,29.48
