step,seconds
figura f3_quota_donne_per_decennio,0.1
figura f4_quota_donne_genere_x_decennio,0.16
figura f5_distribuzione_gradi,0.17
figura f6_assortativita_per_strato,0.04
figura f7_omofilia_per_genere_musicale,0.07
figura f8_posizione_per_genere,0.2
figura f9_ergm_forest_gender,0.0
figura f10_montecarlo_genere,0.05
figura f11_sensibilita,0.05
figura f1_mixing_gender_oss_att,0.05
figura f2_mixing_genere_musicale_oss_att,0.08
figura f3_quota_donne_per_decennio,0.1
figura f4_quota_donne_genere_x_decennio,0.16
figura f5_distribuzione_gradi,0.17
figura f6_assortativita_per_strato,0.04
figura f7_omofilia_per_genere_musicale,0.07
figura f8_posizione_per_genere,0.21
figura f9_ergm_forest_gender,0.0
figura f10_montecarlo_genere,0.05
figura f11_sensibilita,0.05
figura f1_mixing_gender_oss_att,0.06
figura f2_mixing_genere_musicale_oss_att,0.08
figura f3_quota_donne_per_decennio,0.1
figura f4_quota_donne_genere_x_decennio,0.15
figura f5_distribuzione_gradi,0.17
figura f6_assortativita_per_strato,0.04
figura f7_omofilia_per_genere_musicale,0.07
figura f8_posizione_per_genere,0.21
figura f9_ergm_forest_gender,0.0
figura f10_montecarlo_genere,0.05
figura f11_sensibilita,0.05
figura f1_mixing_gender_oss_att,0.05
figura f2_mixing_genere_musicale_oss_att,0.08
figura f3_quota_donne_per_decennio,0.1
figura f4_quota_donne_genere_x_decennio,0.16
figura f5_distribuzione_gradi,0.17
figura f6_assortativita_per_strato,0.05
figura f7_omofilia_per_genere_musicale,0.07
figura f8_posizione_per_genere,0.2
figura f9_ergm_forest_gender,0.0
figura f10_montecarlo_genere,0.05
figura f11_sensibilita,0.05
composizione report,4.8
compilazione HTML/PDF,7.29
composizione report,5.02
compilazione HTML/PDF,7.27
composizione report,4.35
compilazione HTML/PDF,6.72
esportazione dataset,94.98
"copia di tabelle, figure, log e codice",0.06
checksum,1.41
classificazione ruoli,16.3
"coppie a livello traccia (1,032,491 tracce)",1.44
"coppie a livello release (673,823 release)",2.82
"coppie a livello traccia (634,356 tracce)",0.83
"coppie a livello release (343,620 release)",1.21
"coppie a livello traccia (491,537 tracce)",0.41
"coppie a livello release (503,846 release)",1.1
null model gender (500 repliche),32.68
null model musical_genre (500 repliche),26.97
mixing e assortativita' globale,60.15
quota donne,0.15
assortativita' per strato,263.79
omofilia per genere musicale,24.5
assortativita' solo M/F,205.0
Monte Carlo status quo (B=200),32.69
monte carlo genere,36.64
"coppie a livello traccia (778,586 tracce)",0.9
"coppie a livello release (544,671 release)",1.24
"coppie a livello traccia (1,391,863 tracce)",1.96
"coppie a livello release (786,713 release)",6.01
"coppie a livello traccia (1,032,491 tracce)",1.26
"coppie a livello release (673,823 release)",2.51
"coppie a livello traccia (1,032,491 tracce)",1.26
"coppie a livello release (673,823 release)",2.53
"coppie a livello traccia (880,554 tracce)",1.08
"coppie a livello release (574,482 release)",2.02
coppie a livello traccia (0 tracce),0.0
"coppie a livello release (673,823 release)",2.78
"coppie a livello traccia (1,032,491 tracce)",1.43
"coppie a livello release (673,823 release)",2.76
"coppie a livello traccia (1,032,491 tracce)",1.58
"coppie a livello release (673,823 release)",2.76
"coppie a livello traccia (891,863 tracce)",1.28
"coppie a livello release (590,641 release)",2.4
"coppie a livello traccia (706,863 tracce)",0.81
"coppie a livello release (493,046 release)",1.74
sensibilita',731.42
genere debole,163.51
figura f1_mixing_gender_oss_att,0.07
figura f2_mixing_genere_musicale_oss_att,0.1
figura f3_quota_donne_per_decennio,0.12
figura f4_quota_donne_genere_x_decennio,0.19
figura f5_distribuzione_gradi,0.22
figura f6_assortativita_per_strato,0.08
figura f7_omofilia_per_genere_musicale,0.14
figura f8_posizione_per_genere,0.34
figura f9_ergm_forest_gender,0.0
figura f10_montecarlo_genere,0.07
figura f11_sensibilita,0.06
figura f12_ergm_gof,0.09
composizione report,4.93
compilazione HTML/PDF,7.67
figura f1_mixing_gender_oss_att,0.06
figura f2_mixing_genere_musicale_oss_att,0.09
figura f3_quota_donne_per_decennio,0.11
figura f4_quota_donne_genere_x_decennio,0.18
figura f5_distribuzione_gradi,0.19
figura f6_assortativita_per_strato,0.05
figura f7_omofilia_per_genere_musicale,0.07
